# line name	matched via	public name	url
CNN ᴴᴰ	name	CNN	https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8
EURONEWS	name	Euronews	https://7060743b4b224241b86325460b14d152.mediatailor.eu-west-1.amazonaws.com/v1/master/0547f18649bd788bec7b67b746e47670f558b6b2/production-LiveChannel-6769/bitok/eyJzdGlkIjoiMTE3OTllNGEtYmU1OC00ZjQyLTkxOTYtY2VlYWQzZGU2MDJjIiwibWt0IjoicGwiLCJjaCI6Njc2OSwicHRmIjo1fQ==/26235/euronews-pl.m3u8
EURONEWS	name	Euronews	https://7060743b4b224241b86325460b14d152.mediatailor.eu-west-1.amazonaws.com/v1/master/0547f18649bd788bec7b67b746e47670f558b6b2/production-LiveChannel-6769/bitok/eyJzdGlkIjoiMTE3OTllNGEtYmU1OC00ZjQyLTkxOTYtY2VlYWQzZGU2MDJjIiwibWt0IjoicGwiLCJjaCI6Njc2OSwicHRmIjo1fQ==/26235/euronews-pl.m3u8
FOX NEWS	name	Fox News Channel	http://247preview.foxnews.com/hls/live/2020027/fncv3preview/primary.m3u8
NEWS	name	News Live (576p)	https://cdn-6.pishow.tv/live/10011/master.m3u8
RTE NEWS	name	RTE News	https://live.rte.ie/live/a/channel3/channel3.isml/channel3.m3u8
SKY NEWS ᴴᴰ	name	Sky News	https://jmp2.uk/plu-55b285cd2665de274553d66f.m3u8
SKY NEWS ᴴᴰ	name	Sky News	https://jmp2.uk/plu-55b285cd2665de274553d66f.m3u8
|UK| GB NEWS	id	GB News	https://cdn-apse1-prod.tsv2.amagi.tv/linear/amg01076-lightningintern-gbnewsnz-samsungnz/playlist.m3u8
|UK| BBC NEWS ᴴᴰ	id	BBC News	https://vs-hls-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/mobile_wifi_main_hd_abr_v2.m3u8
|UK|  BBC ONE NEWS ᴴᴰ	id	BBC News	https://vs-hls-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/mobile_wifi_main_hd_abr_v2.m3u8
COMEDY CENTRAL ᴴᴰ	name	Comedy Central	https://jmp2.uk/plu-61c0b550e0d3a700072b6a2a.m3u8
DISCOVERY CHANNEL ᴴᴰ	name	Discovery Channel	https://streaming.aurora.enhanced.live/live/mpc/enl0eG1mLmVncmVzcy5mZDJ2eHI=/out/v1/IT_SIMULCAST/DISCOVERYCHANNEL/CMAF/index.m3u8
DISCOVERY TURBO	name	Discovery Turbo TV	https://jmp2.uk/plu-6400f731d200410008f9b339.m3u8
DISCOVERY ᴴᴰ	name	Discovery Channel	https://streaming.aurora.enhanced.live/live/mpc/enl0eG1mLmVncmVzcy5mZDJ2eHI=/out/v1/IT_SIMULCAST/DISCOVERYCHANNEL/CMAF/index.m3u8
DISCOVERY ᵁᴴᴰ	name	Discovery Channel	https://streaming.aurora.enhanced.live/live/mpc/enl0eG1mLmVncmVzcy5mZDJ2eHI=/out/v1/IT_SIMULCAST/DISCOVERYCHANNEL/CMAF/index.m3u8
HISTORY 2 ᴴᴰ	name	History2	http://88.212.15.19/live/test_h2/playlist.m3u8
HISTORY ᴴᴰ	name	History	http://88.212.15.19/live/test_history/playlist.m3u8
HISTORY ᵁᴴᴰ	name	History	http://88.212.15.19/live/test_history/playlist.m3u8
HISTORY ᵁᴴᴰ	name	History	http://88.212.15.19/live/test_history/playlist.m3u8
LOVE NATURE ᵁᴴᴰ	name	Love Nature	https://bamus-klowdtv.amagi.tv/playlist.m3u8
NAUTICAL CHANNEL	name	Nautical Channel	https://streams2.sofast.tv/vglive-sk-231198/index.m3u8
SKY NATURE ᵁᴴᴰ	id	Sky Nature (576p)	https://tvsen6.aynaott.com/skynature/index.m3u8
|UK| SKY NATURE ᵁᴴᴰ	id	Sky Nature (576p)	https://tvsen6.aynaott.com/skynature/index.m3u8
BILLIARD TV	id	Billiard TV (1080p) [Geo-blocked]	https://pb-wm04vonaerv0k.akamaized.net/billi.m3u8
LACROSSE TV	id	Lacrosse TV (720p)	https://a-cdn.klowdtv.com/live2/lsn_720p/playlist.m3u8
MOTORVISION TV	name	Motorvision	https://stream.ads.ottera.tv/playlist.m3u8?network_id=535
PGA TOUR	name	PGA Tour	https://jmp2.uk/plu-66c870112630fc0008137ae2.m3u8
SKY SPORTS NFL	id	Sky Sports NFL	https://7nyaler.streamhostingcdn.top/stream/12/index.m3u8
F1	name	F1 Channel (1080p) [Geo-blocked]	https://amg12058-c15studio-amg12058c1-lg-us-5787.playouts.now.amagi.tv/playlist.m3u8
F1	name	F1 Channel (1080p) [Geo-blocked]	https://amg12058-c15studio-amg12058c1-lg-us-5787.playouts.now.amagi.tv/playlist.m3u8
PREMIER SPORTS 1 ᵁᴴᴰ	name	Premier Sports 1	https://7nyaler.streamhostingcdn.top/stream/47/index.m3u8
PREMIER SPORTS 1 ᵁᴴᴰ	name	Premier Sports 1	https://7nyaler.streamhostingcdn.top/stream/47/index.m3u8
PREMIER SPORTS 2 ᵁᴴᴰ	name	Premier Sports 2	https://7nyaler.streamhostingcdn.top/stream/5/index.m3u8
PREMIER SPORTS 2 ᵁᴴᴰ	name	Premier Sports 2	https://7nyaler.streamhostingcdn.top/stream/5/index.m3u8
PREMIER SPORTS ᴴᴰ	name	Premier Sports (1080p)	https://amg19223-amg19223c3-amgplt0351.playout.now3.amagi.tv/playlist/amg19223-amg19223c3-amgplt0351/playlist.m3u8
SKY SPORTS CRICKET ˢᴰ	id	Sky Sports Cricket	https://7nyaler.streamhostingcdn.top/stream/10/index.m3u8
SKY SPORTS CRICKET ᴴᴰ	id	Sky Sports Cricket	https://7nyaler.streamhostingcdn.top/stream/10/index.m3u8
SKY SPORTS CRICKET ᵁᴴᴰ	id	Sky Sports Cricket	https://7nyaler.streamhostingcdn.top/stream/10/index.m3u8
SKY SPORTS CRICKET ᵁᴴᴰ	id	Sky Sports Cricket	https://7nyaler.streamhostingcdn.top/stream/10/index.m3u8
SKY SPORTS FOOTBALL ᴴᴰ	name	Sky Sports Football	https://7nyaler.streamhostingcdn.top/stream/39/index.m3u8
SKY SPORTS FOOTBALL ᵁᴴᴰ	name	Sky Sports Football	https://7nyaler.streamhostingcdn.top/stream/39/index.m3u8
SKY SPORTS MAIN EVENT ᴴᴰ	name	Sky Sports Main Event	https://7nyaler.streamhostingcdn.top/stream/19/index.m3u8
SKY SPORTS MAIN EVENT ᵁᴴᴰ	name	Sky Sports Main Event	https://7nyaler.streamhostingcdn.top/stream/19/index.m3u8
SKY SPORTS NEWS ᴴᴰ	id	Sky Sports News	https://7nyaler.streamhostingcdn.top/stream/38/index.m3u8
SKY SPORTS NEWS ᵁᴴᴰ	id	Sky Sports News	https://7nyaler.streamhostingcdn.top/stream/38/index.m3u8
SKY SPORTS NEWS ᵁᴴᴰ	id	Sky Sports News	https://7nyaler.streamhostingcdn.top/stream/38/index.m3u8
SKY SPORTS NEWS ᵁᴴᴰ	id	Sky Sports News	https://7nyaler.streamhostingcdn.top/stream/38/index.m3u8
SKY SPORTS NFL	id	Sky Sports NFL	https://7nyaler.streamhostingcdn.top/stream/12/index.m3u8
SKY SPORTS NFL ᴴᴰ	id	Sky Sports NFL	https://7nyaler.streamhostingcdn.top/stream/12/index.m3u8
SKY SPORTS NFL ᵁᴴᴰ	id	Sky Sports NFL	https://7nyaler.streamhostingcdn.top/stream/12/index.m3u8
SKY SPORTS ᵁᴴᴰ MAIN EVENT ᵁᴴᴰ	name	Sky Sports Main Event	https://7nyaler.streamhostingcdn.top/stream/19/index.m3u8
SKY SPORTS ᵁᴴᴰ NFL	id	Sky Sports NFL	https://7nyaler.streamhostingcdn.top/stream/12/index.m3u8
|UK| SKY SPORTS NEWS ᴴᴰ	id	Sky Sports News	https://7nyaler.streamhostingcdn.top/stream/38/index.m3u8
|UK| SKY SPORTS CRICKET ᴴᴰ	id	Sky Sports Cricket	https://7nyaler.streamhostingcdn.top/stream/10/index.m3u8
|UK| SKY SPORTS CRICKET ˢᴰ	id	Sky Sports Cricket	https://7nyaler.streamhostingcdn.top/stream/10/index.m3u8
|UK| SKY SPORTS NFL ᴴᴰ	id	Sky Sports NFL	https://7nyaler.streamhostingcdn.top/stream/12/index.m3u8
|UK| SKY SPORTS NFL	id	Sky Sports NFL	https://7nyaler.streamhostingcdn.top/stream/12/index.m3u8
|UK| SKY SPORTS ᵁᴴᴰ NFL	id	Sky Sports NFL	https://7nyaler.streamhostingcdn.top/stream/12/index.m3u8
|UK| SKY SPORTS ACTION / NFL  ᵁᴴᴰ	id	Sky Sports NFL	https://7nyaler.streamhostingcdn.top/stream/12/index.m3u8
|UK| SKY SPORTS CRICKET ᵁᴴᴰ	id	Sky Sports Cricket	https://7nyaler.streamhostingcdn.top/stream/10/index.m3u8
|UK| SKY SPORTS CRICKET ᵁᴴᴰ	id	Sky Sports Cricket	https://7nyaler.streamhostingcdn.top/stream/10/index.m3u8
|UK| SKY SPORTS NEWS  ᵁᴴᴰ	id	Sky Sports News	https://7nyaler.streamhostingcdn.top/stream/38/index.m3u8
|UK| SKY SPORTS NEWS ᵁᴴᴰ	id	Sky Sports News	https://7nyaler.streamhostingcdn.top/stream/38/index.m3u8
|UK| SKY SPORTS NEWS ᵁᴴᴰ	id	Sky Sports News	https://7nyaler.streamhostingcdn.top/stream/38/index.m3u8
|UK| SKY SPORTS NFL ᵁᴴᴰ	id	Sky Sports NFL	https://7nyaler.streamhostingcdn.top/stream/12/index.m3u8
uk| SKY SPORTS NFL	id	Sky Sports NFL	https://7nyaler.streamhostingcdn.top/stream/12/index.m3u8
DMAX	name	DMAX	https://streaming.aurora.enhanced.live/live/mpc/enl0eG1mLmVncmVzcy5mZDJ2eHI=/out/v1/IT_SIMULCAST/DMAX/CMAF/index.m3u8
HGTV	name	HGTV (1080p)	https://i.mjh.nz/.r/sky-hgtv.m3u8
DISCOVERY	name	Discovery Channel	https://streaming.aurora.enhanced.live/live/mpc/enl0eG1mLmVncmVzcy5mZDJ2eHI=/out/v1/IT_SIMULCAST/DISCOVERYCHANNEL/CMAF/index.m3u8
DISCOVERY TURBO	name	Discovery Turbo TV	https://jmp2.uk/plu-6400f731d200410008f9b339.m3u8
FOOD NETWORK	name	Food Network	https://streaming.aurora.enhanced.live/live/mpc/enl0eG1mLmVncmVzcy5mZDJ2eHI=/out/v1/IT_SIMULCAST/FOODNETWORK/CMAF/index.m3u8
MTV LIVE ᴴᴰ	name	MTV	https://da86m1sqpm3o0.cloudfront.net/28072023/smil:mtvindia.smil/playlist.m3u8
DISCOVERY ˢᴰ	name	Discovery Channel	https://streaming.aurora.enhanced.live/live/mpc/enl0eG1mLmVncmVzcy5mZDJ2eHI=/out/v1/IT_SIMULCAST/DISCOVERYCHANNEL/CMAF/index.m3u8
FILM 4 ˢᴰ	name	Film4	http://88.212.15.19/live/film4_hun/index.m3u8
GOLD ˢᴰ	name	Gold TV	https://5a1178b42cc03.streamlock.net/golditalia/golditalia/playlist.m3u8
HISTORY ˢᴰ	name	History	http://88.212.15.19/live/test_history/playlist.m3u8
PREMIER SPORTS 1 ˢᴰ	name	Premier Sports 1	https://7nyaler.streamhostingcdn.top/stream/47/index.m3u8
PREMIER SPORTS 2 ˢᴰ	name	Premier Sports 2	https://7nyaler.streamhostingcdn.top/stream/5/index.m3u8
RTE 2 ˢᴰ	name	RTÉ2	https://live.rte.ie/live/a/channel2/channel2.isml/channel2.m3u8
SKY CRICKET ˢᴰ	id	Sky Sports Cricket	https://7nyaler.streamhostingcdn.top/stream/10/index.m3u8
SKY NATURE ˢᴰ	id	Sky Nature (576p)	https://tvsen6.aynaott.com/skynature/index.m3u8
SKY NEWS ˢᴰ	name	Sky News	https://jmp2.uk/plu-55b285cd2665de274553d66f.m3u8
SKY SPORTS FOOTBALL ˢᴰ	name	Sky Sports Football	https://7nyaler.streamhostingcdn.top/stream/39/index.m3u8
SKY SPORTS NEWS ˢᴰ	id	Sky Sports News	https://7nyaler.streamhostingcdn.top/stream/38/index.m3u8
SONY TV ˢᴰ	name	Sony Channel	http://170.83.16.50/SONY_CHANNEL/index.m3u8
SYFY ˢᴰ	name	SYFY	http://tvsen7.aynascope.net/syfy/index.m3u8
TG4 ˢᴰ	name	TG4 (1080p)	https://fastly.live.brightcove.com/6384196213112/eu-west-1/1555966122001/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJob3N0IjoieDl2YzlnLmVncmVzcy55ODN1ZWIiLCJhY2NvdW50X2lkIjoiMTU1NTk2NjEyMjAwMSIsImVobiI6ImZhc3RseS5saXZlLmJyaWdodGNvdmUuY29tIiwiaXNzIjoiYmxpdmUtcGxheWJhY2stc291cmNlLWFwaSIsInN1YiI6InBhdGhtYXB0b2tlbiIsImF1ZCI6WyIxNTU1OTY2MTIyMDAxIl0sImp0aSI6IjYzODQxOTYyMTMxMTIifQ.Co2xR3kmJBoxTaFTpwU0b37lJ05vNt-y32-SwfM26EA/chunklist.m3u8
UTSAV PLUS ˢᴰ	id	Utsav Plus (720p)	https://raw.githubusercontent.com/amazeyourself/adaptive-streams/refs/heads/main/streams/gb/YuppTV/UtsavPlus.m3u8
|UK| SKY SPORTS NEWS ˢᴰ	id	Sky Sports News	https://7nyaler.streamhostingcdn.top/stream/38/index.m3u8
|UK| SKY CRICKET ˢᴰ	id	Sky Sports Cricket	https://7nyaler.streamhostingcdn.top/stream/10/index.m3u8
|UK| SKY NATURE ˢᴰ	id	Sky Nature (576p)	https://tvsen6.aynaott.com/skynature/index.m3u8
ABP NEWS	name	ABP News (1080p)	https://d1rc86nwwc9fag.cloudfront.net/vglive-sk-472500/abpnews/master.m3u8
AKAAL CHANNEL	id	Akaal Channel (396p) [Geo-blocked]	https://cdn-globecast.akamaized.net/live/eds/akaal_tv/hls1_smart_akaal/akaal_tv.m3u8
B4U MUSIC	name	B4U Music (576p)	https://cdn-2.pishow.tv/live/415/master.m3u8
PTC PUNJABI	name	PTC Punjabi	https://cdn-2.pishow.tv/live/1604/master.m3u8
PTC PUNJABI	name	PTC Punjabi	https://cdn-2.pishow.tv/live/1604/master.m3u8
PTC PUNJABI	name	PTC Punjabi	https://cdn-2.pishow.tv/live/1604/master.m3u8
SONY TV	name	Sony Channel	http://170.83.16.50/SONY_CHANNEL/index.m3u8
ZEE CINEMA	name	Zee Cinema	https://raw.githubusercontent.com/amazeyourself/adaptive-streams/refs/heads/main/streams/sg/YuppTV/ZeeCinemaAPAC.m3u8
|UK| AKAAL CHANNEL (ASIA)	id	Akaal Channel (396p) [Geo-blocked]	https://cdn-globecast.akamaized.net/live/eds/akaal_tv/hls1_smart_akaal/akaal_tv.m3u8
US 247 PLUTO TV SPOTLIGHT	id	Pluto TV Spotlight	https://jmp2.uk/plu-5ba3fb9c4b078e0f37ad34e8.m3u8
|IE|ˢᴰ| TG4	id	TG4 (1080p)	https://fastly.live.brightcove.com/6384196213112/eu-west-1/1555966122001/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJob3N0IjoieDl2YzlnLmVncmVzcy55ODN1ZWIiLCJhY2NvdW50X2lkIjoiMTU1NTk2NjEyMjAwMSIsImVobiI6ImZhc3RseS5saXZlLmJyaWdodGNvdmUuY29tIiwiaXNzIjoiYmxpdmUtcGxheWJhY2stc291cmNlLWFwaSIsInN1YiI6InBhdGhtYXB0b2tlbiIsImF1ZCI6WyIxNTU1OTY2MTIyMDAxIl0sImp0aSI6IjYzODQxOTYyMTMxMTIifQ.Co2xR3kmJBoxTaFTpwU0b37lJ05vNt-y32-SwfM26EA/chunklist.m3u8
|IE|ˢᴰ| VIRGIN MEDIA ONE	id	Virgin Media 1	https://live-virginmedia.simplestreamcdn.com/s3/rewrite/virgin_one/index.m3u8
|IE|ˢᴰ| VIRGIN MEDIA THREE	id	Virgin Media 3	https://live-virginmedia.simplestreamcdn.com/s3/rewrite/virgin_three/index.m3u8
|IE|ˢᴰ| VIRGIN MEDIA TWO	id	Virgin Media 2	https://live-virginmedia.simplestreamcdn.com/s3/rewrite/virgin_two/index.m3u8
|IE|ᴴᴰ| TG4	id	TG4 (1080p)	https://fastly.live.brightcove.com/6384196213112/eu-west-1/1555966122001/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJob3N0IjoieDl2YzlnLmVncmVzcy55ODN1ZWIiLCJhY2NvdW50X2lkIjoiMTU1NTk2NjEyMjAwMSIsImVobiI6ImZhc3RseS5saXZlLmJyaWdodGNvdmUuY29tIiwiaXNzIjoiYmxpdmUtcGxheWJhY2stc291cmNlLWFwaSIsInN1YiI6InBhdGhtYXB0b2tlbiIsImF1ZCI6WyIxNTU1OTY2MTIyMDAxIl0sImp0aSI6IjYzODQxOTYyMTMxMTIifQ.Co2xR3kmJBoxTaFTpwU0b37lJ05vNt-y32-SwfM26EA/chunklist.m3u8
|IE|ᴴᴰ| VIRGIN MEDIA ONE	id	Virgin Media 1	https://live-virginmedia.simplestreamcdn.com/s3/rewrite/virgin_one/index.m3u8
|IE|ᴴᴰ| VIRGIN MEDIA THREE	id	Virgin Media 3	https://live-virginmedia.simplestreamcdn.com/s3/rewrite/virgin_three/index.m3u8
|IE|ᴴᴰ| VIRGIN MEDIA TWO	id	Virgin Media 2	https://live-virginmedia.simplestreamcdn.com/s3/rewrite/virgin_two/index.m3u8
ABC NEWS LIVE	id	ABC News Live (1080p) [Geo-blocked]	https://pb-0n3n2ej0w8pl9.akamaized.net/ABCNewsLive_Disney.m3u8
BARNEY AND FRIENDS	id	Ryan and Friends	https://cdn-apse1-prod.tsv2.amagi.tv/linear/amg00286-pocketwatch-ryanandfriends-samsungnz/playlist.m3u8
BBC EARTH	name	BBC Earth	https://amg00793-amg00793c6-firetv-us-4067.playouts.now.amagi.tv/playlist.m3u8
BBC FOOD	id	BBC Food (1080p)	https://d1e9r0b71zfwk7.cloudfront.net/playlist.m3u8
BBC NEWS	name	BBC News	https://vs-hls-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/mobile_wifi_main_hd_abr_v2.m3u8
BET	name	BET	https://jmp2.uk/plu-61c1939b8929e40007ff6382.m3u8
BEYOND PARANORMAL	name	Beyond Paranormal (1080p)	https://videoelephantlimited-beyondparanormal-1-us.ohlscdn.wurl.tv/playlist.m3u8
BLOOMBERG TV	id	Bloomberg TV	https://jmp2.uk/plu-62b976b93279cb000772c6f9.m3u8
BOUNCE XL	id	Bounce XL	https://jmp2.uk/plu-6176fd25e83a5f0007a464c9.m3u8
BRAVO	id	Bravo	http://tvsen7.aynascope.net/bravo/index.m3u8
CBS NEWS 247	id	CBS News	https://dai.google.com/linear/hls/event/Sid4xiTQTkCT1SLu6rjUSQ/master.m3u8
CHARGE	id	Charge! (1080p)	https://fast-channels.sinclairstoryline.com/CHARGE/index.m3u8
CHEDDAR NEWS	id	Cheddar News	https://wurlcheddar.global.transmit.live/hls/689ceac9301c34d3919676f3/v1/Cheddar/samsung_us/latest/main/hls/playlist.m3u8
CIRCLE TV	name	Circle	https://amg00432-circletvfast-amg00432c1-cineverse-us-1112.playouts.now.amagi.tv/playlist/amg00432-circletv-circletv-cineverseus/playlist.m3u8
CNBC	name	CNBC (1080p)	https://amg01079-nbcuuk-amg01079c2-samsung-gb-1258.playouts.now.amagi.tv/playlist.m3u8
CNN	id	CNN	https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8
COMEDY CENTRAL	id	Comedy Central	https://jmp2.uk/plu-64f8a408bd341e000818fcda.m3u8
COMEDY DYNAMICS	id	Comedy Dynamics	https://d3a5mry3t5fzw9.cloudfront.net/playlist.m3u8
COMET	id	Comet (1080p)	https://fast-channels.sinclairstoryline.com/COMET/index.m3u8
DISCOVERY CHANNEL	name	Discovery Channel	https://streaming.aurora.enhanced.live/live/mpc/enl0eG1mLmVncmVzcy5mZDJ2eHI=/out/v1/IT_SIMULCAST/DISCOVERYCHANNEL/CMAF/index.m3u8
DISNEY CHANNEL	id	Disney Channel (720p) [Geo-blocked]	http://212.5.144.156/disney/index.m3u8
DISNEY JUNIOR	id	Disney Junior	http://212.5.144.156/disneyjr/index.m3u8
DOVE CHANNEL	id	Dove Channel	https://d2v2e5kw14egus.cloudfront.net/playlist.m3u8
EARTH TOUCH TV	name	Earth Touch (1080p)	https://amg01823-earthtouch-amg01823c1-samsung-gb-862.playouts.now.amagi.tv/playlist/amg01823-earthtouch-earthtouch-samsunggb/playlist.m3u8
EURONEWS	name	Euronews	https://7060743b4b224241b86325460b14d152.mediatailor.eu-west-1.amazonaws.com/v1/master/0547f18649bd788bec7b67b746e47670f558b6b2/production-LiveChannel-6769/bitok/eyJzdGlkIjoiMTE3OTllNGEtYmU1OC00ZjQyLTkxOTYtY2VlYWQzZGU2MDJjIiwibWt0IjoicGwiLCJjaCI6Njc2OSwicHRmIjo1fQ==/26235/euronews-pl.m3u8
FOOD NETWORK	name	Food Network	https://streaming.aurora.enhanced.live/live/mpc/enl0eG1mLmVncmVzcy5mZDJ2eHI=/out/v1/IT_SIMULCAST/FOODNETWORK/CMAF/index.m3u8
FOX BUSINESS NETWORK	name	Fox Business Network (480p)	https://247preview.foxbusiness.com/hls/live/2020026/fbnv3preview/primary.m3u8
FOX NEWS CHANNEL	id	Fox News Channel	http://247preview.foxnews.com/hls/live/2020027/fncv3preview/primary.m3u8
